t	L_x
10 070	9,94459
10 080	9,94181
10 090	9,94265
10 100	9,94318
10 110	9,9448
10 120	9,94545
10 130	9,9435
10 140	9,94435
10 150	9,9449
10 160	9,94095
10 170	9,94257
10 180	9,94663
10 190	9,94555
10 200	9,94351
10 210	9,94402
10 220	9,94262
10 230	9,94334
10 240	9,94411
10 250	9,94339
10 260	9,94564
10 270	9,94651
10 280	9,94249
10 290	9,9418
10 300	9,94417
10 310	9,94326
10 320	9,94525
10 330	9,94616
10 340	9,94417
10 350	9,94214
10 360	9,94356
10 370	9,9422
10 380	9,9453
10 390	9,94547
10 400	9,94394
10 410	9,94418
10 420	9,94534
10 430	9,94113
10 440	9,94255
10 450	9,9459
10 460	9,94579
10 470	9,94455
10 480	9,94377
10 490	9,9421
10 500	9,94402
10 510	9,94477
10 520	9,94283
10 530	9,94575
10 540	9,94706
10 550	9,94327
10 560	9,94114
10 570	9,9438
10 580	9,94388
10 590	9,94602
10 600	9,94569
10 610	9,94395
10 620	9,94365
10 630	9,94384
10 640	9,9419
10 650	9,94481
10 660	9,94646
10 670	9,94427
10 680	9,94389
10 690	9,94459
10 700	9,94242
10 710	9,94318
10 720	9,94518
10 730	9,94535
10 740	9,94597
10 750	9,94408
10 760	9,94192
10 770	9,9437
10 780	9,94472
10 790	9,94334
10 800	9,94569
10 810	9,94697
10 820	9,94325
10 830	9,94229
10 840	9,94302
10 850	9,94476
10 860	9,94626
10 870	9,94516
10 880	9,94296
10 890	9,94531
10 900	9,94403
10 910	9,94198
10 920	9,94416
10 930	9,94709
10 940	9,94505
10 950	9,94464
10 960	9,94339
10 970	9,94299
10 980	9,94455
10 990	9,94455
11 000	9,94472
11 010	9,94659
11 020	9,9449
11 030	9,94149
11 040	9,94403
11 050	9,94432
11 060	9,94478
11 070	9,94589
11 080	9,94645
11 090	9,94297
11 100	9,94357
11 110	9,94248
11 120	9,94498
11 130	9,94669
11 140	9,94517
11 150	9,94267
11 160	9,94585
11 170	9,94433
11 180	9,94256
11 190	9,94424
11 200	9,94619
11 210	9,94584
11 220	9,94537
11 230	9,94285
11 240	9,94243
11 250	9,9456
11 260	9,94458
11 270	9,94506
11 280	9,94684
11 290	9,94521
11 300	9,94171
11 310	9,94406
11 320	9,94427
11 330	9,94539
11 340	9,94646
11 350	9,94516
11 360	9,94337
11 370	9,94471
11 380	9,94288
11 390	9,9438
11 400	9,94721
11 410	9,94576
11 420	9,94373
11 430	9,94503
11 440	9,94385
11 450	9,9422
11 460	9,94514
11 470	9,94602
11 480	9,94633
11 490	9,94557
11 500	9,94224
11 510	9,94233
11 520	9,94606
11 530	9,94525
11 540	9,9443
11 550	9,94698
11 560	9,94532
11 570	9,94276
11 580	9,9432
11 590	9,94431
11 600	9,94565
11 610	9,94759
11 620	9,94422
11 630	9,94374
11 640	9,94471
11 650	9,94367
11 660	9,94312
11 670	9,94715
11 680	9,94598
11 690	9,94465
11 700	9,94495
11 710	9,94347
11 720	9,9433
11 730	9,94559
11 740	9,94584
11 750	9,94593
11 760	9,94649
11 770	9,94221
11 780	9,94261
11 790	9,94563
11 800	9,94582
11 810	9,94429
11 820	9,94716
11 830	9,94496
11 840	9,94396
11 850	9,94324
11 860	9,94426
11 870	9,94549
11 880	9,94787
11 890	9,94388
11 900	9,94386
11 910	9,94539
11 920	9,94397
11 930	9,94343
11 940	9,94659
11 950	9,94674
11 960	9,94521
11 970	9,94484
11 980	9,94262
11 990	9,94428
12 000	9,94598
12 010	9,94551
12 020	9,94554
12 030	9,94694
12 040	9,94306
12 050	9,94324
12 060	9,9453
12 070	9,94581
12 080	9,94525
12 090	9,94659
12 100	9,94461
12 110	9,94437
12 120	9,94398
12 130	9,94355
12 140	9,94623
12 150	9,94784
12 160	9,94461
12 170	9,94399
12 180	9,94547
12 190	9,94383
12 200	9,94431
12 210	9,94608
12 220	9,94654
12 230	9,94638
12 240	9,94436
12 250	9,94191
